,OccurrencePrecinctCode,CollisionID,CollisionKey,Borough,RoadType,Collision_ at_Location,Address,CollisionVehicleCount,CollisionInjuredCount,CollisionKilledCount,Vehicles_or_MotoristsInvolved,PersonsInjured,PersonsKilled,MotoristsInjured,MotoristsKilled,PassengInjured,PassengKilled,CyclistsInjured,CyclistsKilled,PedestrInjured,PedestrKilled,Injury_or_Fatal,Bicycle
0,121,2024121001214,294705199,statensland,H,1.0,M.L.K. EXP,2.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,121,2024121001309,295566463,statensland,H,1.0,M.L.K. EXP,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,121,2024121001308,295381494,statensland,H,1.0,STATEN ISLAND EXP,2.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3,121,2024121001212,294639228,statensland,H,1.0,STATEN ISLAND EXP,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,121,2024121001271,295257305,statensland,H,2.0,STATEN ISLAND EXP,2.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5,121,2024121001215,294504973,statensland,H,1.0,STATEN ISLAND EXP,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,121,2024121001265,295566462,statensland,H,1.0,STATEN ISLAND EXP,3.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7,121,2024121001213,294838761,statensland,H,1.0,STATEN ISLAND EXP,4.0,2.0,0.0,4.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8,121,2024121001208,294703186,statensland,H,1.0,STATEN ISLAND EXP,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,121,2024121001289,295181559,statensland,H,1.0,STATEN ISLAND EXP,2.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10,121,2024121001318,295910616,statensland,H,2.0,STATEN ISLAND EXP,3.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
11,121,2024121001294,295325101,statensland,H,1.0,WEST SHORE EXP,2.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
12,121,2024121001259,294869946,statensland,H,1.0,WEST SHORE EXP,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,122,2024122001195,294838765,statensland,H,1.0,STATEN ISLAND EXP,2.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
14,122,2024122001207,294457416,statensland,H,1.0,STATEN ISLAND EXP,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,122,2024122001246,295071410,statensland,H,2.0,STATEN ISLAND EXP,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,122,2024122001268,295608981,statensland,H,1.0,STATEN ISLAND EXP,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
17,122,2024122001216,294703187,statensland,H,1.0,STATEN ISLAND EXP,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,122,2024122001231,294706817,statensland,H,1.0,STATEN ISLAND EXP,2.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
19,122,2024122001211,294653565,statensland,H,1.0,STATEN ISLAND EXP,3.0,2.0,0.0,3.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
20,122,2024122001223,294879396,statensland,H,1.0,STATEN ISLAND EXP,3.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
21,122,2024122001236,294755090,statensland,B,1.0,VZ BR UPPER,3.0,3.0,0.0,3.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
22,122,2024122001238,294755092,statensland,B,2.0,VZ BR UPPER,2.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
23,122,2024122001239,294755093,statensland,B,3.0,VZ BR UPPER,3.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
24,122,2024122001247,294918196,statensland,B,4.0,VZ BR UPPER,2.0,3.0,0.0,2.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
25,122,2024122001237,294755091,statensland,B,1.0,VZ BR UPPER,2.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
26,123,2024123000635,295253831,statensland,H,1.0,KOREAN WAR VETS PKY,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
27,123,2024123000627,295109473,statensland,H,1.0,KOREAN WAR VETS PKY,1.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
28,123,2024123000592,294703188,statensland,H,1.0,WEST SHORE EXP,3.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
29,123,2024123000631,295244570,statensland,H,1.0,WEST SHORE EXP,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,102,2024102001154,294823895,queens,H,1.0,JACKIE ROBINSON PKY,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,102,2024102001191,295329220,queens,H,1.0,JACKIE ROBINSON PKY,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,102,2024102001152,294823893,queens,H,1.0,JACKIE ROBINSON PKY,2.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
33,102,2024102001185,295297959,queens,H,1.0,JACKIE ROBINSON PKY,3.0,3.0,0.0,3.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
