,CollisionID,CollisionKey,Borough,RoadType,VehicleSequenceNumber,VehicleTypeCode,VehicleTypeDescription,ContributingFactorCode,ContributingFactorDescription
0,2024121001215,294504973,statensland,H,1.0,SEDN,Passenger vehicle, , 
1,2024121001215,294504973,statensland,H,2.0,,,17,Traffic control disregarded                                                     
2,2024121001308,295381494,statensland,H,1.0,SEDN,Passenger vehicle,04,Driver inattention/distraction                                                  
3,2024121001308,295381494,statensland,H,2.0,SEDN,Passenger vehicle, , 
4,2024121001265,295566462,statensland,H,1.0,SUBN,Sport utility / station wagon,26,Other uninvolved vehicle                                                        
5,2024121001265,295566462,statensland,H,2.0,SUBN,Sport utility / station wagon, , 
6,2024121001265,295566462,statensland,H,3.0,LCOM,Large com veh(6 or more tires), , 
7,2024121001289,295181559,statensland,H,1.0,SEDN,Passenger vehicle,04,Driver inattention/distraction                                                  
8,2024121001289,295181559,statensland,H,2.0,BUS,Bus,04,Driver inattention/distraction                                                  
9,2024121001318,295910616,statensland,H,1.0,,,20,Unsafe lane changing                                                            
10,2024121001318,295910616,statensland,H,2.0,SUBN,Sport utility / station wagon, , 
11,2024121001318,295910616,statensland,H,3.0,SEDN,Passenger vehicle, , 
12,2024121001208,294703186,statensland,H,1.0,SUBN,Sport utility / station wagon, , 
13,2024121001208,294703186,statensland,H,2.0,,,19,Unsafe speed                                                                    
14,2024121001213,294838761,statensland,H,1.0,PICK,Pick-up truck,09,Following too closely                                                           
15,2024121001213,294838761,statensland,H,2.0,SEDN,Passenger vehicle,09,Following too closely                                                           
16,2024121001213,294838761,statensland,H,3.0,SUBN,Sport utility / station wagon, , 
17,2024121001213,294838761,statensland,H,4.0,SUBN,Sport utility / station wagon, , 
18,2024121001212,294639228,statensland,H,1.0,SEDN,Passenger vehicle, , 
19,2024121001212,294639228,statensland,H,2.0,LCOM,Large com veh(6 or more tires), , 
20,2024121001271,295257305,statensland,H,1.0,LCOM,Large com veh(6 or more tires),07,Failure to yield right-of-way                                                   
21,2024121001271,295257305,statensland,H,2.0,SUBN,Sport utility / station wagon, , 
22,2024122001216,294703187,statensland,H,1.0,SUBN,Sport utility / station wagon,09,Following too closely                                                           
23,2024122001216,294703187,statensland,H,2.0,SUBN,Sport utility / station wagon, , 
24,2024122001207,294457416,statensland,H,1.0,SEDN,Passenger vehicle,04,Driver inattention/distraction                                                  
25,2024122001207,294457416,statensland,H,2.0,LCOM,Large com veh(6 or more tires),04,Driver inattention/distraction                                                  
26,2024122001246,295071410,statensland,H,1.0,SUBN,Sport utility / station wagon, , 
27,2024122001246,295071410,statensland,H,2.0,,,07,Failure to yield right-of-way                                                   
28,2024122001268,295608981,statensland,H,1.0,MCY,Motorcycle,26,Other uninvolved vehicle                                                        
29,2024122001211,294653565,statensland,H,1.0,LCOM,Large com veh(6 or more tires),09,Following too closely                                                           
30,2024122001211,294653565,statensland,H,2.0,SUBN,Sport utility / station wagon, , 
31,2024122001211,294653565,statensland,H,3.0,PICK,Pick-up truck, , 
32,2024122001223,294879396,statensland,H,1.0,SEDN,Passenger vehicle,09,Following too closely                                                           
33,2024122001223,294879396,statensland,H,2.0,SUBN,Sport utility / station wagon,09,Following too closely                                                           
34,2024122001223,294879396,statensland,H,3.0,SUBN,Sport utility / station wagon, , 
35,2024122001231,294706817,statensland,H,1.0,LCOM,Large com veh(6 or more tires), , 
36,2024122001231,294706817,statensland,H,2.0,SEDN,Passenger vehicle,09,Following too closely                                                           
37,2024122001195,294838765,statensland,H,1.0,SEDN,Passenger vehicle, , 
38,2024122001195,294838765,statensland,H,2.0,SEDN,Passenger vehicle,09,Following too closely                                                           
39,2024123000592,294703188,statensland,H,1.0,SEDN,Passenger vehicle, , 
40,2024123000592,294703188,statensland,H,2.0,SEDN,Passenger vehicle,09,Following too closely                                                           
41,2024123000592,294703188,statensland,H,3.0,SEDN,Passenger vehicle,04,Driver inattention/distraction                                                  
42,2024123000631,295244570,statensland,H,1.0,SEDN,Passenger vehicle, , 
43,2024123000631,295244570,statensland,H,2.0,PICK,Pick-up truck,19,Unsafe speed                                                                    
44,2024123000631,295244570,statensland,H,3.0,SEDN,Passenger vehicle, , 
45,2024121001259,294869946,statensland,H,1.0,SEDN,Passenger vehicle,04,Driver inattention/distraction                                                  
46,2024121001259,294869946,statensland,H,2.0,SEDN,Passenger vehicle,04,Driver inattention/distraction                                                  
47,2024121001294,295325101,statensland,H,1.0,SUBN,Sport utility / station wagon, , 
48,2024121001294,295325101,statensland,H,2.0,,,04,Driver inattention/distraction                                                  
49,2024121001214,294705199,statensland,H,1.0,SUBN,Sport utility / station wagon,20,Unsafe lane changing                                                            
50,2024121001214,294705199,statensland,H,2.0,SEDN,Passenger vehicle, , 
51,2024121001309,295566463,statensland,H,1.0,SEDN,Passenger vehicle, , 
52,2024123000635,295253831,statensland,H,1.0,SUBN,Sport utility / station wagon, , 
53,2024123000627,295109473,statensland,H,1.0,TAXI,Taxi vehicle, , 
54,2024122001236,294755090,statensland,B,1.0,SEDN,Passenger vehicle, , 
55,2024122001236,294755090,statensland,B,2.0,SEDN,Passenger vehicle,09,Following too closely                                                           
56,2024122001236,294755090,statensland,B,3.0,SEDN,Passenger vehicle,09,Following too closely                                                           
57,2024122001238,294755092,statensland,B,1.0,SEDN,Passenger vehicle, , 
58,2024122001238,294755092,statensland,B,2.0,MCY,Motorcycle,09,Following too closely                                                           
59,2024122001239,294755093,statensland,B,1.0,SEDN,Passenger vehicle,09,Following too closely                                                           
60,2024122001239,294755093,statensland,B,2.0,SEDN,Passenger vehicle, , 
61,2024122001239,294755093,statensland,B,3.0,SEDN,Passenger vehicle,09,Following too closely                                                           
62,2024122001247,294918196,statensland,B,1.0,SUBN,Sport utility / station wagon, , 
63,2024122001247,294918196,statensland,B,2.0,SUBN,Sport utility / station wagon,09,Following too closely                                                           
64,2024122001237,294755091,statensland,B,1.0,SEDN,Passenger vehicle, , 
65,2024122001237,294755091,statensland,B,2.0,SEDN,Passenger vehicle,09,Following too closely                                                           
66,2024108001483,295750455,queens,H,1.0,LCOM,Large com veh(6 or more tires), , 
67,2024108001483,295750455,queens,H,2.0,,,07,Failure to yield right-of-way                                                   
68,2024108001335,294333738,queens,H,1.0,SUBN,Sport utility / station wagon, , 
69,2024108001335,294333738,queens,H,2.0,,,04,Driver inattention/distraction                                                  
70,2024108001395,294938456,queens,H,1.0,SEDN,Passenger vehicle,04,Driver inattention/distraction                                                  
71,2024108001395,294938456,queens,H,2.0,SEDN,Passenger vehicle, , 
72,2024115001441,294493320,queens,H,1.0,SUBN,Sport utility / station wagon, , 
73,2024115001441,294493320,queens,H,2.0,SEDN,Passenger vehicle,04,Driver inattention/distraction                                                  
